airport_id,name,country,latitude,longitude
CYJF,Fort Liard Airport,CA,60.235801696799996,-123.46900177
CYJN,St Jean Airport,CA,45.29439926147461,-73.28109741210938
CYJT,Stephenville Dymond International Airport,CA,48.54339,-58.552892
CYKA,Kamloops John Moose Fulton Field Regional Airport,CA,50.703038,-120.448641
CYKF,Region of Waterloo International Airport,CA,43.4608,-80.378601
CYKJ,Key Lake Airport,CA,57.256099700927734,-105.61799621582031
CYKL,Schefferville Airport,CA,54.805301666259766,-66.8052978515625
CYKM,Kincardine Municipal Airport,CA,44.201401,-81.606697
CYKX,Kirkland Lake Airport,CA,48.21030044555664,-79.98139953613281
CYKY,Kindersley Airport,CA,51.5175018311,-109.180999756
CYLD,Chapleau Airport,CA,47.81999969482422,-83.3467025756836
CYLJ,Meadow Lake Airport,CA,54.125301361083984,-108.52300262451172
CYLL,Lloydminster Airport,CA,53.3092,-110.072998
CYLR,Leaf Rapids Airport,CA,56.513301849365234,-99.98529815673828
CYLS,Barrie-Lake Simcoe Regional Airport,CA,44.485056,-79.554663
CYLT,Alert Airport,CA,82.517263,-62.283037
CYLW,Kelowna International Airport,CA,49.9561,-119.377998
CYMA,Mayo Airport,CA,63.61640167236328,-135.8679962158203
CYME,Matane Airport,CA,48.85689926147461,-67.45330047607422
CYMG,Manitouwadge Airport,CA,49.083900451660156,-85.86060333251953
CYMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,CA,50.330299377441406,-105.55899810791016
CYML,Charlevoix Airport,CA,47.59749984741211,-70.2238998413086
CYMM,Fort McMurray International Airport,CA,56.653301,-111.222
CYMO,Moosonee Airport,CA,51.291099548339844,-80.60780334472656
CYMT,Chapais Airport,CA,49.77190017700195,-74.5280990600586
CYMX,Montreal Mirabel International Airport,CA,45.679501,-74.038696
CYNA,Natashquan Airport,CA,50.190114,-61.78898
CYND,Ottawa / Gatineau Airport,CA,45.521702,-75.563599
CYNJ,Langley Airport,CA,49.1008,-122.630997
CYNL,Points North Landing Airport,CA,58.27669906616211,-104.08200073242188
CYNM,Matagami Airport,CA,49.76169967651367,-77.80280303955078
CYNN,Nejanilini Lake Airport,CA,59.4874992371,-97.78029632570001
CYOA,Ekati Airport,CA,64.6988983154,-110.614997864
CYOD,CFB Cold Lake,CA,54.404998779296875,-110.27899932861328
CYOJ,High Level Airport,CA,58.62139892578125,-117.16500091552734
CYOO,Oshawa Executive Airport,CA,43.922798,-78.894997
CYOP,Rainbow Lake Airport,CA,58.491402,-119.407997
CYOS,Owen Sound / Billy Bishop Regional Airport,CA,44.5903015137,-80.8375015259
CYOW,Ottawa Macdonald-Cartier International Airport,CA,45.322498,-75.669197
CYPA,Prince Albert Glass Field,CA,53.214199066199996,-105.672996521
CYPD,Port Hawkesbury Airport,CA,45.6567001343,-61.3680992126
CYPE,Peace River Airport,CA,56.226898,-117.446999
CYPG,Portage-la-Prairie / Southport Airport,CA,49.903099,-98.273817
CYPK,Pitt Meadows Regional Airport,CA,49.21488,-122.709294
CYPL,Pickle Lake Airport,CA,51.4463996887207,-90.21420288085938
CYPN,Port-Menier Airport,CA,49.836399,-64.288597
