port_id,name,country,latitude,longitude
wpi:1540,Botwood,Canada,49.133333333000003,-55.333333332999999
wpi:1570,Twillingate,Canada,49.649999999999999,-54.766666667000003
wpi:40,Thorlakshofn,Iceland,63.850000000000001,-21.366666667000001
wpi:230,Skagastrond,Iceland,65.816666667000007,-20.316666667000000
wpi:340,Raufarhofn,Iceland,66.450000000000003,-15.933333333000000
wpi:465,Djupivogur,Iceland,64.666666667000001,-14.283333333000000
wpi:900,Uummannaq,Greenland,70.666666667000001,-52.116666666999997
wpi:360,Vopnafjordur,Iceland,65.750000000000000,-14.816666667000000
wpi:350,Thorshofn,Iceland,66.200000000000003,-15.333333333000001
wpi:400,Seydisfjordur,Iceland,65.266666666999996,-14.000000000000000
wpi:65,Grindavik,Iceland,63.833333332999999,-22.433333333000000
wpi:120,Grundarfjordur,Iceland,64.933333332999993,-23.250000000000000
wpi:635,Faeringehavn,Greenland,63.683333333000000,-51.516666667000003
wpi:315,Grenivik,Iceland,65.950000000000003,-18.183333333000000
wpi:540,Ammassalik,Greenland,65.616666667000004,-37.616666666999997
wpi:453,Faskrudsfjordur,Iceland,64.916666667000001,-14.016666667000001
wpi:72,Helguvik,Iceland,64.016666666999996,-22.550000000000001
wpi:210,Hvammstangi,Iceland,65.400000000000006,-20.949999999999999
wpi:680,Soendre Stroemfjord,Greenland,66.950000000000003,-50.950000000000003
wpi:85,Kopavogur,Iceland,64.116666667000004,-21.949999999999999
wpi:155,Patreksfjordur,Iceland,65.599999999999994,-24.000000000000000
wpi:270,Olafsfjordur,Iceland,66.066666667000007,-18.649999999999999
wpi:125,Stykkisholmur,Iceland,65.083333332999999,-22.733333333000001
wpi:5680,Shediac Harbor,Canada,46.216666666999998,-64.533333333000002
wpi:1989,Cap des Mechins,Canada,49.000000000000000,-66.983333333000004
wpi:6290,Sheet Harbor,Canada,44.899999999999999,-62.500000000000000
wpi:1980,Godbout,Canada,49.316666667000000,-67.599999999999994
wpi:5702,Ile du Cap aux Meules,Canada,47.383333333000003,-61.916666667000001
wpi:5542,Newport (Canada),Canada,48.266666667000003,-64.750000000000000
wpi:1888,Natashquan,Canada,50.083333332999999,-61.733333332999997
wpi:5942,St Anns Harbour,Canada,46.283333333000002,-60.549999999999997
wpi:5890,Port Hood,Canada,46.000000000000000,-61.549999999999997
wpi:6401,Riverport,Canada,44.299999999999997,-64.333333332999999
wpi:6390,Lunenburg Harbour,Canada,44.366666666999997,-64.299999999999997
wpi:2100,Tadoussac,Canada,48.149999999999999,-69.716666666999998
wpi:5630,Miramichi,Canada,47.016666667000003,-65.500000000000000
wpi:5930,Dingwall Harbor,Canada,46.899999999999999,-60.466666666999998
wpi:5650,Richibucto Harbor,Canada,46.683333333000000,-64.866666667000004
wpi:5999,Crawley Creek,Canada,46.149999999999999,-60.223333332999999
wpi:5704,Havre de la Grande Entree,Canada,47.583333332999999,-61.583333332999999
wpi:2155,La Malbaie,Canada,47.633333333000003,-70.133333332999996
wpi:2145,Ile du Gros Cacouna,Canada,47.933333333000000,-69.500000000000000
wpi:5590,Bathurst Harbour,Canada,47.633333333000003,-65.633333332999996
wpi:6460,Yarmouth Harbor (Canada),Canada,43.833333332999999,-66.116666667000004
wpi:6420,Lockeport Harbor,Canada,43.700000000000003,-65.116666667000004
wpi:2080,Baie des Escoumins,Canada,48.350819999999999,-69.389171579000006
wpi:5950,Baddeck Harbour,Canada,46.100000000000001,-60.750000000000000
wpi:6430,Shelburne Harbour,Canada,43.750000000000000,-65.316666667000007
wpi:2152,St Simeon,Canada,47.833333332999999,-69.866666667000004
wpi:5700,Havre Aubert,Canada,47.233333332999997,-61.833333332999999
wpi:5780,Pugwash Harbour,Canada,45.850000000000001,-63.666666667000001
wpi:1900,Mingan Harbor,Canada,50.283333333000002,-64.016666666999996
wpi:2160,Portneuf,Canada,46.683333333000000,-71.883333332999996
wpi:6044,Arichat Harbour,Canada,45.516666667000003,-61.016666667000003
wpi:5585,Belledune Harbor,Canada,47.899999999999999,-65.833333332999999
wpi:1910,Port Menier,Canada,49.816666667000000,-64.349999999999994
wpi:2173,Pointe des Roches,Canada,47.416666667000001,-70.400000000000006
wpi:5730,Souris Harbour,Canada,46.350000000000001,-62.250000000000000
wpi:5540,Chandler,Canada,48.350000000000001,-64.666666667000001
wpi:9540,Puerto Morelos,Mexico,20.850000000000001,-86.883333332999996
wpi:1860,Old Ferolle Harbor,Canada,51.083333332999999,-56.883333333000003
wpi:1862,St. Barbe Harbor,Canada,51.200000000000003,-56.766666667000003
wpi:1850,Port Saunders,Canada,50.649999999999999,-57.283333333000002
wpi:1789,Great Jervis Harbor,Canada,47.649999999999999,-56.183333333000000
wpi:1853,Hawkes Habor,Canada,50.616666666999997,-57.299999999999997
wpi:910,Marmorilik,Greenland,71.133333332999996,-51.266666667000003
wpi:435,Reydarfjordur,Iceland,65.033333333000002,-14.100000000000000
wpi:455,Stodhvarfjordur,Iceland,64.833333332999999,-13.883333332999999
wpi:68,Sandgerdi,Iceland,64.033333333000002,-22.716666666999998
wpi:110,Litlisandur,Iceland,64.383333332999996,-21.449999999999999
wpi:115,Borgarnes,Iceland,64.549999999999997,-21.916666667000001
wpi:57860,Shan T Ou,China,23.366667000000000,116.683333000000005
wpi:57857,Yantian,China,22.583333000000000,114.266666999999998
wpi:57872,Zhangzhou,China,24.683333000000001,118.150000000000006
wpi:57876,Xiuyu,China,25.233332999999998,118.983333000000002
wpi:57874,Quanzhou,China,24.883333000000000,118.599999999999994
wpi:28210,Porvoo,Finland,60.299999999999997,25.633333000000000
wpi:14000,Stanley,Falkland Islands (Islas Malvinas),-51.700000000000003,-57.833333000000003
wpi:57821,Zhuhai,China,22.233332999999998,113.583332999999996
wpi:57777,Shekou,China,22.466667000000001,113.866667000000007
wpi:28360,Primorsk,Russia,60.366667000000000,28.633333000000000
wpi:27740,Pori,Finland,61.483333000000002,21.800000000000001
wpi:57870,Xiamen,China,24.449999999999999,118.066666999999995
wpi:36290,Pontrieux,France,48.709507582999997,-3.146202479000000
wpi:28410,Ust Luga,Russia,59.666666999999997,28.316666999999999
wpi:14150,Puerto Yartou,Chile,-53.883333000000000,-70.150000000000006
wpi:59995,Zhenjiang,China,32.216667000000001,119.433333000000005
wpi:18670,Victoria Harbor,Canada,48.433332999999998,-123.383332999999993
wpi:18150,Vancouver,Canada,49.283332999999999,-123.116667000000007
wpi:18730,Port Alberni,Canada,49.233333000000002,-124.816666999999995
wpi:45164,Abu Qir,Egypt,31.323997974000001,30.078534363999999
wpi:11670,St George's,Grenada,12.050000000000001,-61.750000000000000
wpi:14090,Puerto Sara,Chile,-52.633333000000000,-70.200000000000003
wpi:14080,Punta Delgada,Chile,-52.466667000000001,-69.549999999999997
wpi:28370,Sankt-Peterburg,Russia,59.933332999999998,30.300000000000001
wpi:27537,Rahja,Finland,64.217777777999999,23.679722221999999
wpi:20730,Mehamnfjorden,Norway,71.041346614000005,27.835338465000000
wpi:23065,Fiborgtangen,Norway,63.717642990999998,11.147972250000000
wpi:23503,Jossingfjord,Norway,58.314907138000002,6.333204587000000
wpi:22770,Nesna,Norway,66.200987053000006,13.010143533999999
wpi:23170,Haakonsvern,Norway,60.333164355999997,5.235305876000000
wpi:27820,Turku,Finland,60.450000000000003,22.233332999999998
wpi:28440,Kunda,Estonia,59.527774999999998,26.547196000000000
wpi:14100,Rada Punta Arenas,Chile,-53.166666999999997,-70.900000000000006
wpi:45172,Sidi Kerir (Kurayr),Egypt,31.056713682000002,29.670446971000001
wpi:57864,Dongshan,China,23.756666667000001,117.504999999999995
wpi:29435,Kyndbyvaerkets,Denmark,55.816667000000002,11.883333000000000
wpi:47820,Berbera,Somalia,10.449999999999999,45.016666999999998
wpi:38495,Burriana,Spain,39.883333000000000,-0.050000000000000
wpi:13020,Itajai,Brazil,-26.916667000000000,-48.633333000000000
wpi:45814,Nouakchott,Mauritania,18.033332999999999,-16.033332999999999
wpi:12857,Santa Clara,Brazil,-20.883333000000000,-51.366667000000000
wpi:9500,Campeche,Mexico,19.850000000000001,-90.549999999999997
wpi:45940,Monrovia,Liberia,6.316667000000000,-10.816667000000001
wpi:30400,Alborg,Denmark,57.049999999999997,9.933332999999999
wpi:30450,Hirtshals,Denmark,57.600000000000001,9.966666999999999
wpi:57657,Thanh Hoa,Vietnam,10.816667000000001,106.766666999999998
wpi:11690,Bridgetown,Barbados,13.100000000000000,-59.633333000000000
wpi:60376,Gwangyang Hang,South Korea,34.908459999999998,127.750119999999995
wpi:55500,Kingston,Norfolk Island,-29.066666999999999,167.949999999999989
wpi:55670,Apia,Samoa,-13.816667000000001,-171.766667000000012
wpi:11640,Kingstown,Saint Vincent and the Grenadines (Windward Islands),13.150000000000000,-61.233333000000002
wpi:60330,Kunsan,South Korea,35.983333000000002,126.616667000000007
wpi:10160,Puerto Padre,Cuba,21.283332999999999,-76.533332999999999
wpi:11550,Fort De France,Martinique,14.600000000000000,-61.066667000000002
wpi:11620,Vieux Fort,Saint Lucia,13.716666999999999,-60.966667000000001
wpi:10190,Vita,Cuba,21.100000000000001,-75.966666666999998
wpi:56330,Wake Island,Wake Island,19.283332999999999,166.616667000000007
wpi:11800,Caracasbaai,Curacao,12.066667000000001,-68.866667000000007
wpi:11820,Bullen Baai,Curacao,12.183332999999999,-69.033332999999999
wpi:11780,Kralendijk,Caribbean Netherlands,12.150000000000000,-68.283332999999999
wpi:11781,Goto Oil Terminal,Caribbean Netherlands,12.216666999999999,-68.383332999999993
wpi:11810,Willemstad,Curacao,12.116667000000000,-68.933333000000005
wpi:11830,Sint Nicolaas Baai,Aruba,12.433332999999999,-69.916667000000004
wpi:56500,Nauru,Nauru,-0.533333000000000,166.916666999999990
wpi:56550,Apra Harbor,Guam,13.449999999999999,144.616667000000007
wpi:62630,Nikol Skoye,Russia,55.200000000000003,165.983332999999988
wpi:14860,Bahia De Matarani,Peru,-17.000000000000000,-72.116667000000007
wpi:11930,Barranquilla,Colombia,10.966666999999999,-74.766666999999998
wpi:11772,Galeota Point Terminal,Trinidad and Tobago,10.133333000000000,-60.983333000000002
wpi:12260,Carupano,Venezuela,10.699999999999999,-63.250000000000000
wpi:12270,Guiria,Venezuela,10.566667000000001,-62.299999999999997
wpi:12370,Georgetown,Guyana,6.833333000000000,-58.166666999999997
wpi:605,Gronnedal (Kangilinnguit),Greenland,61.233333000000002,-48.100000000000001
wpi:12810,Port Of Ilheus,Brazil,-14.783333000000001,-39.016666999999998
wpi:57415,Kirteh Oil Terminal,Malaysia,4.566667000000000,103.466667000000001
wpi:49794,Khanom,Thailand,9.199999999999999,99.900000000000006
wpi:57462,Laem Chabang,Thailand,13.083333000000000,100.883332999999993
wpi:57575,Cat Lai,Vietnam,10.750000000000000,106.783332999999999
wpi:57439,Songkhla Harbor,Thailand,7.216667000000000,100.583332999999996
wpi:57461,Siam Seaport,Thailand,13.133333000000000,100.883332999999993
wpi:57458,Si Racha,Thailand,13.166667000000000,100.916667000000004
wpi:57572,Phu My,Vietnam,10.583333000000000,107.033332999999999
wpi:57580,Thanh Ho Chi Minh,Vietnam,10.766667000000000,106.716667000000001
wpi:57472,Petchburi Terminal,Thailand,13.166667000000000,100.150000000000006
wpi:57655,Mui Vung Tau,Vietnam,10.316667000000001,107.066666999999995
wpi:57745,Fang-Cheng,China,21.750000000000000,108.349999999999994
wpi:49792,Bang Saphan,Thailand,11.183332999999999,99.599999999999994
wpi:57610,Vinh Cam Ranh,Vietnam,11.883333000000000,109.166667000000004
wpi:57680,Hai Phong,Vietnam,20.916667000000000,106.683333000000005
wpi:57450,Bangkok,Thailand,13.750000000000000,100.500000000000000
wpi:57460,Si Racha Terminal,Thailand,13.116667000000000,100.883332999999993
wpi:57446,Sattahip,Thailand,12.616667000000000,100.916667000000004
wpi:57640,Qui Nhon,Vietnam,13.766667000000000,109.233333000000002
wpi:57470,Ko Si Chang Terminal,Thailand,13.166667000000000,100.816666999999995
wpi:57570,Vung Tau,Vietnam,10.350000000000000,107.066666999999995
wpi:12150,La Guaira,Venezuela,10.616667000000000,-66.933333000000005
wpi:12115,El Palito,Venezuela,10.483333000000000,-68.116667000000007
wpi:59940,Ningbo,China,29.883333000000000,121.549999999999997
wpi:12060,Las Piedras,Venezuela,11.699999999999999,-70.216667000000001
wpi:12070,Amuay (Bahia De Amuay),Venezuela,11.750000000000000,-70.233333000000002
wpi:12145,Catia La Mar,Venezuela,10.600000000000000,-67.016666999999998
wpi:60130,Lianyungang,China,34.733333000000002,119.450000000000003
wpi:12130,Puerto Borburata,Venezuela,10.483333000000000,-67.983333000000002
wpi:12100,Puerto Chichiriviche,Venezuela,10.916667000000000,-68.266666999999998
wpi:12120,Puerto Cabello,Venezuela,10.483333000000000,-68.000000000000000
wpi:11782,Salina,Caribbean Netherlands,12.083333000000000,-68.283332999999999
wpi:59970,Shanghai,China,31.216667000000001,121.500000000000000
wpi:60133,Rizhao,China,35.383333000000000,119.566666999999995
wpi:60125,Lanshan,China,35.079999999999998,119.366667000000007
wpi:59910,Wenzhou,China,28.016667000000002,120.650000000000006
wpi:60140,Qingdao Gang,China,36.033332999999999,120.266666999999998
wpi:11400,Basseterre,Saint Kitts and Nevis,17.300000000000001,-62.716667000000001
wpi:11160,Bahia De Fajardo,Puerto Rico,18.333333000000000,-65.633332999999993
